DateKey,BranchKey,ProductKey,TotalDeposits,DepositAccounts
20241226,1,1,50992.85,4
20241226,1,2,24559.71,4
20241226,1,3,9138.87,3
20241226,1,4,15034.859999999999,3
20241226,2,1,2957.23,1
20241226,2,2,5925.6,2
20241226,2,3,90074.06,7
20241226,2,4,12644.93,1
20241226,2,5,39612.31,6
20241226,3,1,6886.52,2
20241226,3,3,40143.58,8
20241226,3,4,65308.11,3
20241226,3,5,23834.27,4
20241226,4,1,15972.880000000001,4
20241226,4,2,111442.37,6
20241226,4,3,23129.510000000002,3
20241226,4,4,14942.56,2
20241226,4,5,39797.11,6
20241226,5,1,6310.610000000001,4
20241226,5,2,28346.26,2
20241226,5,3,126412.43999999999,5
20241226,5,4,53279.26,5
20241226,5,5,45649.47,9
20241226,6,1,81076.07,3
20241226,6,2,34471.75,4
20241226,6,3,36270.38,5
20241226,6,4,29615.77,3
20241226,6,5,70205.81,7
20241226,7,1,168418.19999999998,10
20241226,7,2,12753.83,2
20241226,7,3,37507.29,3
20241226,7,4,48218.89,5
20241226,7,5,15968.54,3
20241226,8,1,21300.8,2
20241226,8,2,62874.28,8
20241226,8,3,23280.579999999998,3
20241226,8,4,23784.67,2
20241226,8,5,14515.99,3
20241226,9,1,37247.1,5
20241226,9,2,47781.979999999996,4
20241226,9,3,26826.02,3
20241226,9,4,19559.050000000003,4
20241226,9,5,15198.62,3
20241226,10,1,64456.03,5
20241226,10,2,6541.34,2
20241226,10,3,19636.49,4
20241226,10,4,15173.54,2
20241226,10,5,7841.65,2
20241226,11,1,20264.920000000002,3
20241226,11,2,12649.460000000001,3
20241226,11,3,27166.54,5
20241226,11,4,33761.36,2
20241226,11,5,40826.7,5
20241226,12,1,80783.17,6
20241226,12,2,312586.94,7
20241226,12,3,5471.89,1
20241226,12,5,40648.42,2
20241226,13,1,12288.2,3
20241226,13,2,27771.43,4
20241226,13,3,40670.72,4
20241226,13,4,33738.229999999996,3
20241226,13,5,23474.44,5
20241226,14,1,19682.13,4
20241226,14,3,11554.73,4
20241226,14,4,36721.25,6
20241226,14,5,15074.89,3
20241226,15,1,39464.57,3
20241226,15,2,25687.25,3
20241226,15,3,24243.140000000003,2
20241226,15,4,18346.04,4
20241226,16,1,10598.15,2
20241226,16,2,44238.72,2
20241226,16,3,29053.32,2
20241226,16,4,150847.21,7
20241226,16,5,24246.949999999997,2
20241226,17,1,21677.29,4
20241226,17,2,20255.29,2
20241226,17,3,12868.71,3
20241226,17,4,47752.34999999999,4
20241226,17,5,30030.42,4
20241226,18,1,23722.02,3
20241226,18,3,3789.3399999999997,1
20241226,18,4,64174.17,6
20241226,18,5,31798.42,2
20241226,19,1,26208.84,6
20241226,19,2,192410.14,7
20241226,19,3,26263.85,3
20241226,19,4,62350.92,5
20241226,19,5,47768.08,7
20241226,20,1,29497.059999999998,5
20241226,20,2,60663.399999999994,6
20241226,20,3,7770.449999999999,3
20241226,20,4,45799.35,6
20241226,20,5,83547.04000000001,5
20241226,21,2,30962.899999999998,4
20241226,21,3,46296.84,6
20241226,21,4,7932.41,1
20241226,21,5,146954.87,5
20241226,22,1,40599.47,5
20241226,22,2,17956.18,2
20241226,22,3,24732.77,3
20241226,22,4,14701.04,5
20241226,22,5,22102.8,4
20241226,23,1,23980.27,3
20241226,23,2,42588.84,7
20241226,23,3,6777.67,2
20241226,23,4,8840.95,2
20241226,24,1,1428.21,1
20241226,24,2,74258.45999999999,4
20241226,24,4,41899.01,5
20241226,24,5,8673.58,2
20241226,25,1,95.12,1
20241226,25,2,129580.61,8
20241226,25,3,28085.370000000003,3
20241226,25,4,166777.7,4
20241226,25,5,6751.33,2
20241226,26,1,34376.34,5
20241226,26,2,20758.42,1
20241226,26,3,72644.22,10
20241226,26,4,21750.230000000003,2
20241226,26,5,20744.74,3
20241226,27,1,8795.43,2
20241226,27,2,15775.72,2
20241226,27,3,25505.41,6
20241226,27,4,54369.200000000004,5
20241226,27,5,10135.75,3
20241226,28,1,45336.78,7
20241226,28,2,129226.58,5
20241226,28,3,24794.200000000004,5
20241226,28,4,45442.259999999995,3
20241226,28,5,25253.23,5
20241226,29,1,49924.22,5
20241226,29,2,49626.86,4
20241226,29,3,18368.15,3
20241226,29,5,84828.18,4
20241226,30,1,4659.1,2
20241226,30,2,46286.48999999999,5
20241226,30,3,15718.92,3
20241226,30,4,10295.33,1
20241226,30,5,26986.62,4
20241226,31,1,10706.55,3
20241226,31,2,23458.920000000002,1
20241226,31,3,21801.71,5
20241226,31,4,44141.17,5
20241226,31,5,38443.159999999996,1
20241226,32,1,11366.33,3
20241226,32,2,67251.95,6
20241226,32,3,47905.36,4
20241226,32,4,93724.34,4
20241226,32,5,29975.05,9
20241226,33,2,10798.34,3
20241226,33,3,33180.49,6
20241226,33,4,11417.630000000001,2
20241226,33,5,24537.92,4
20241226,34,1,13264.009999999998,3
20241226,34,2,12336.830000000002,4
20241226,34,3,20386.39,5
20241226,34,4,59444.829999999994,2
20241226,34,5,21119.739999999998,2
20241226,35,1,9135.28,2
20241226,35,2,12150.050000000001,4
20241226,35,3,64203.92,8
20241226,35,4,56259.75,5
20241226,35,5,36742.05,4
20241226,36,1,52667.97,7
20241226,36,2,35973.03,7
20241226,36,3,26535.809999999998,2
20241226,36,4,12301.23,3
20241226,36,5,91323.06,5
20241226,37,1,36524.25,5
20241226,37,2,10207.22,3
20241226,37,3,66882.59999999999,8
20241226,37,4,47849.43,3
20241226,37,5,20089.98,4
20241226,38,1,35447.87,6
20241226,38,2,13352.77,2
20241226,38,3,61752.35,4
20241226,38,4,55521.08,5
20241226,38,5,53217.73,3
20241226,39,1,29681.940000000002,3
20241226,39,2,11724.74,4
20241226,39,3,6591.1,2
20241226,39,4,7249.51,2
20241226,39,5,26009.44,3
20241226,40,1,9170.460000000001,1
20241226,40,2,28666.329999999998,5
20241226,40,3,15529.099999999999,4
20241226,40,4,105908.12,6
20241226,40,5,19123.93,2
20241227,1,1,48991.200000000004,5
20241227,1,2,16167.35,5
20241227,1,3,3491.75,2
20241227,1,4,8806.76,3
20241227,1,5,17512.72,3
20241227,2,1,31195.89,3
20241227,2,2,31586.33,4
20241227,2,3,27983.760000000002,4
20241227,2,4,26938.07,2
20241227,2,5,57731.490000000005,10
20241227,3,1,24777.73,6
20241227,3,3,55059.87,8
20241227,3,4,16495.26,2
20241227,3,5,11020.51,2
20241227,4,1,43022.969999999994,5
20241227,4,2,23705.340000000004,2
20241227,4,3,39434.9,7
20241227,4,4,118257.31,9
20241227,4,5,106083.09,6
20241227,5,1,1496.97,1
20241227,5,2,13878.93,3
20241227,5,3,15265.79,4
20241227,5,4,24512.239999999998,6
20241227,5,5,12648.460000000001,5
20241227,6,1,42785.38,5
20241227,6,2,10088.43,2
20241227,6,3,28557.489999999998,3
20241227,6,4,44443.87,5
20241227,6,5,9229.380000000001,2
20241227,7,1,75478.72,6
20241227,7,2,77233.05,7
20241227,7,3,35373.08,3
20241227,7,4,1698.43,1
20241227,7,5,3615.18,1
20241227,8,1,64987.189999999995,8
20241227,8,2,63077.71,5
20241227,8,3,61299.28,6
20241227,8,4,48232.17,6
20241227,8,5,80758.62000000001,4
20241227,9,1,59565.649999999994,3
20241227,9,2,38023.92,4
20241227,9,3,12033.369999999999,3
20241227,9,4,24313.52,4
20241227,9,5,29658.18,6
20241227,10,1,96515.19,12
20241227,10,2,62005.3,5
20241227,10,3,51045.06,5
20241227,10,4,918.9,1
20241227,10,5,47771.0,7
20241227,11,1,22628.19,2
20241227,11,2,19226.65,5
20241227,11,3,71528.12,6
20241227,11,4,6972.07,1
20241227,11,5,43134.689999999995,3
20241227,12,1,21157.42,6
20241227,12,2,14435.63,5
20241227,12,3,27072.8,4
20241227,12,4,108571.70999999999,8
20241227,12,5,36597.83,3
20241227,13,1,378415.67000000004,4
20241227,13,2,26231.15,5
20241227,13,3,10794.17,2
20241227,13,4,16410.46,4
